[13:15:56] Test #  1 | Scale: 100% | Res: 1080x1440 | ABS:  19.0ms | Adj:    0.0ms | Proc: 0.0ms
[13:15:56] Test #  2 | Scale: 100% | Res: 1080x1440 | ABS:  19.0ms | Adj:   -5.9ms | Proc: 0.0ms
[13:15:56] Test #  3 | Scale: 100% | Res: 1080x1440 | ABS:  23.0ms | Adj:   -7.1ms | Proc: 0.0ms
[13:15:56] Test #  4 | Scale: 100% | Res: 1080x1440 | ABS:  19.5ms | Adj:    1.9ms | Proc: 0.0ms
[13:15:56] Test #  5 | Scale: 100% | Res: 1080x1440 | ABS:  25.0ms | Adj:    9.0ms | Proc: 0.0ms
[13:15:56] Test #  6 | Scale: 100% | Res: 1080x1440 | ABS:  25.0ms | Adj:    8.1ms | Proc: 0.0ms
[13:15:57] Test #  7 | Scale: 100% | Res: 1080x1440 | ABS:  38.5ms | Adj:   -1.9ms | Proc: 0.0ms
[13:15:57] Test #  8 | Scale: 100% | Res: 1080x1440 | ABS:  22.0ms | Adj:   -6.4ms | Proc: 0.0ms
[13:15:57] Test #  9 | Scale: 100% | Res: 1080x1440 | ABS:  19.5ms | Adj:    7.0ms | Proc: 0.0ms
[13:15:57] Test # 10 | Scale: 100% | Res: 1080x1440 | ABS:  19.5ms | Adj:   16.9ms | Proc: 0.0ms
[13:15:57] Test # 11 | Scale:  90% | Res:  972x1296 | ABS:  38.5ms | Adj:   11.3ms | Proc: 8.27ms
[13:15:57] Test # 12 | Scale:  90% | Res:  972x1296 | ABS:  39.0ms | Adj:    8.2ms | Proc: 1.39ms
[13:15:57] Test # 13 | Scale:  90% | Res:  972x1296 | ABS:  38.5ms | Adj:   -8.1ms | Proc: 1.36ms
[13:15:57] Test # 14 | Scale:  90% | Res:  972x1296 | ABS:  18.5ms | Adj:   51.9ms | Proc: 1.46ms
[13:15:57] Test # 15 | Scale:  90% | Res:  972x1296 | ABS:  18.5ms | Adj:   13.1ms | Proc: 1.13ms
[13:15:57] Test # 16 | Scale:  90% | Res:  972x1296 | ABS:  48.0ms | Adj:   18.3ms | Proc: 2.62ms
[13:15:57] Test # 17 | Scale:  90% | Res:  972x1296 | ABS:  38.5ms | Adj:   18.8ms | Proc: 2.81ms
[13:15:57] Test # 18 | Scale:  90% | Res:  972x1296 | ABS:  39.5ms | Adj:   12.0ms | Proc: 1.98ms
[13:15:58] Test # 19 | Scale:  90% | Res:  972x1296 | ABS:  26.0ms | Adj:   81.9ms | Proc: 2.6ms
[13:15:58] Test # 20 | Scale:  90% | Res:  972x1296 | ABS:  26.0ms | Adj:   31.3ms | Proc: 1.08ms
[13:15:58] Test # 21 | Scale:  80% | Res:  864x1152 | ABS:  62.5ms | Adj:   56.8ms | Proc: 0.97ms
[13:15:58] Test # 22 | Scale:  80% | Res:  864x1152 | ABS:  38.0ms | Adj:   29.9ms | Proc: 0.96ms
[13:15:58] Test # 23 | Scale:  80% | Res:  864x1152 | ABS:  47.0ms | Adj:   47.2ms | Proc: 1.49ms
