[13:17:55] Test #  1 | Scale: 100% | Res: 1080x1920 | ABS:  76.0ms | Adj:    0.0ms | Bytes:  109304
[13:17:55] Test #  2 | Scale: 100% | Res: 1080x1920 | ABS:  85.0ms | Adj:   -6.5ms | Bytes:  109895
[13:17:55] Test #  3 | Scale: 100% | Res: 1080x1920 | ABS:  53.5ms | Adj:   39.8ms | Bytes:  109126
[13:17:55] Test #  4 | Scale: 100% | Res: 1080x1920 | ABS:  42.0ms | Adj:  124.9ms | Bytes:  108427
[13:17:56] Test #  5 | Scale: 100% | Res: 1080x1920 | ABS:  63.0ms | Adj:  205.0ms | Bytes:  109170
[13:17:56] Test #  6 | Scale: 100% | Res: 1080x1920 | ABS:  63.0ms | Adj:  197.0ms | Bytes:  110422
[13:17:56] Test #  7 | Scale: 100% | Res: 1080x1920 | ABS:  63.0ms | Adj:  246.4ms | Bytes:  109205
[13:17:56] Test #  8 | Scale: 100% | Res: 1080x1920 | ABS: 134.5ms | Adj:  300.2ms | Bytes:  110441
[13:17:56] Test #  9 | Scale: 100% | Res: 1080x1920 | ABS: 134.5ms | Adj:  273.4ms | Bytes:  110354
[13:17:56] Test # 10 | Scale: 100% | Res: 1080x1920 | ABS: 154.5ms | Adj:  290.3ms | Bytes:  110206
[13:17:56] Test # 11 | Scale:  90% | Res:  972x1728 | ABS: 169.5ms | Adj:  399.8ms | Bytes:  108678
[13:17:56] Test # 12 | Scale:  90% | Res:  972x1728 | ABS: 169.5ms | Adj:  532.1ms | Bytes:  111097
[13:17:57] Test # 13 | Scale:  90% | Res:  972x1728 | ABS: 195.0ms | Adj:  514.9ms | Bytes:  111726
[13:17:57] Test # 14 | Scale:  90% | Res:  972x1728 | ABS: 203.0ms | Adj:  514.4ms | Bytes:  109144
[13:17:57] Test # 15 | Scale:  90% | Res:  972x1728 | ABS: 197.0ms | Adj:  495.0ms | Bytes:  109509
[13:17:57] Test # 16 | Scale:  90% | Res:  972x1728 | ABS: 197.0ms | Adj:  466.9ms | Bytes:  110269
[13:17:57] Test # 17 | Scale:  90% | Res:  972x1728 | ABS: 197.0ms | Adj:  465.7ms | Bytes:  110325
[13:17:57] Test # 18 | Scale:  90% | Res:  972x1728 | ABS: 197.0ms | Adj:  438.9ms | Bytes:  110677
[13:17:57] Test # 19 | Scale:  90% | Res:  972x1728 | ABS: 197.0ms | Adj:  394.4ms | Bytes:  111181
[13:17:57] Test # 20 | Scale:  90% | Res:  972x1728 | ABS: 197.0ms | Adj:  349.2ms | Bytes:  110855
[13:17:57] Test # 21 | Scale:  80% | Res:  864x1536 | ABS: 327.5ms | Adj:  304.5ms | Bytes:  108440
[13:17:57] Test # 22 | Scale:  80% | Res:  864x1536 | ABS: 327.5ms | Adj:  248.1ms | Bytes:  108864
[13:17:57] Test # 23 | Scale:  80% | Res:  864x1536 | ABS: 321.5ms | Adj:  218.7ms | Bytes:  110547
[13:17:57] Test # 24 | Scale:  80% | Res:  864x1536 | ABS: 312.0ms | Adj:  180.3ms | Bytes:  109081
[13:17:57] Test # 25 | Scale:  80% | Res:  864x1536 | ABS: 313.5ms | Adj:  140.4ms | Bytes:  105344
[13:17:57] Test # 26 | Scale:  80% | Res:  864x1536 | ABS: 249.0ms | Adj:  114.1ms | Bytes:  106468
[13:17:57] Test # 27 | Scale:  80% | Res:  864x1536 | ABS: 171.5ms | Adj:   69.5ms | Bytes:  110307
[13:17:57] Test # 28 | Scale:  80% | Res:  864x1536 | ABS: 157.5ms | Adj:   51.8ms | Bytes:  107901
[13:17:57] Test # 29 | Scale:  80% | Res:  864x1536 | ABS: 120.5ms | Adj:    8.3ms | Bytes:  104775
[13:17:57] Test # 30 | Scale:  80% | Res:  864x1536 | ABS:  90.0ms | Adj:  -31.6ms | Bytes:  108359
[13:17:57] Test # 31 | Scale:  70% | Res:  756x1344 | ABS:  52.0ms | Adj:  -23.2ms | Bytes:  106554
