[17:13:06] Test #  1 | Scale: 100% | Res: 1080x1920 | ABS:  20.5ms | Adj:    0.0ms
[17:13:06] Test #  2 | Scale: 100% | Res: 1080x1920 | ABS:  16.5ms | Adj:  -1.05ms
[17:13:06] Test #  3 | Scale: 100% | Res: 1080x1920 | ABS:  21.0ms | Adj:  -6.59ms
[17:13:06] Test #  4 | Scale: 100% | Res: 1080x1920 | ABS:  17.0ms | Adj:  -9.17ms
[17:13:06] Test #  5 | Scale: 100% | Res: 1080x1920 | ABS:  16.5ms | Adj: -14.48ms
[17:13:06] Test #  6 | Scale: 100% | Res: 1080x1920 | ABS:  15.0ms | Adj: -16.35ms
[17:13:06] Test #  7 | Scale: 100% | Res: 1080x1920 | ABS:  16.0ms | Adj: -23.18ms
[17:13:06] Test #  8 | Scale: 100% | Res: 1080x1920 | ABS:  14.0ms | Adj: -23.81ms
[17:13:06] Test #  9 | Scale: 100% | Res: 1080x1920 | ABS:  22.5ms | Adj: -31.52ms
[17:13:07] Test # 10 | Scale: 100% | Res: 1080x1920 | ABS:  13.5ms | Adj: -32.02ms
[17:13:07] Test # 11 | Scale:  90% | Res:  972x1728 | ABS:  14.5ms | Adj: -32.17ms
[17:13:07] Test # 12 | Scale:  90% | Res:  972x1728 | ABS:  16.5ms | Adj:  -36.6ms
[17:13:07] Test # 13 | Scale:  90% | Res:  972x1728 | ABS:  15.5ms | Adj: -35.52ms
[17:13:07] Test # 14 | Scale:  90% | Res:  972x1728 | ABS:  17.5ms | Adj: -49.57ms
[17:13:07] Test # 15 | Scale:  90% | Res:  972x1728 | ABS:  12.5ms | Adj: -51.54ms
[17:13:07] Test # 16 | Scale:  90% | Res:  972x1728 | ABS:  12.0ms | Adj: -49.37ms
[17:13:07] Test # 17 | Scale:  90% | Res:  972x1728 | ABS:  15.0ms | Adj: -55.87ms
[17:13:07] Test # 18 | Scale:  90% | Res:  972x1728 | ABS:  13.0ms | Adj: -58.36ms
[17:13:07] Test # 19 | Scale:  90% | Res:  972x1728 | ABS:  13.0ms | Adj: -63.07ms
[17:13:07] Test # 20 | Scale:  90% | Res:  972x1728 | ABS:  13.5ms | Adj: -68.11ms
[17:13:07] Test # 21 | Scale:  80% | Res:  864x1536 | ABS:  11.0ms | Adj: -65.23ms
